# DATE: 2026-07-06 Created by python script

SALR_MC13
N 100000 R 1.000000000000e-06 2.244924096619e+00

1 1.000000000000e-06 4.000000000000e+72 4.800000000000e+79
2 2.344945546074e-05 1.446994387658e+56 7.404834061484e+61
3 4.589891092148e-05 4.575424795947e+52 1.196217872038e+58
4 6.834836638223e-05 3.848773251853e+50 6.757334734814e+55
5 9.079782184297e-05 1.273957170320e+49 1.683684226509e+54
6 1.132472773037e-04 8.989318280148e+47 9.525334465435e+52
7 1.356967327645e-04 1.026188866460e+47 9.074843694948e+51
8 1.581461882252e-04 1.634388311157e+46 1.240160129940e+51
9 1.805956436859e-04 3.323324508014e+45 2.208242307634e+50
10 2.030450991467e-04 8.146102183342e+44 4.814360287981e+49
11 2.254945546074e-04 2.314340667525e+44 1.231607923244e+49
12 2.479440100682e-04 7.409971551412e+43 3.586279765036e+48
13 2.703934655289e-04 2.618820230731e+43 1.162226413545e+48
14 2.928429209896e-04 1.005641599084e+43 4.120877891882e+47
15 3.152923764504e-04 4.144750113188e+42 1.577488232294e+47
16 3.377418319111e-04 1.815690140853e+42 6.451164656431e+46
17 3.601912873719e-04 8.388060403766e+41 2.794535247636e+46
18 3.826407428326e-04 4.060368591057e+41 1.273372582647e+46
19 4.050901982934e-04 2.048515110172e+41 6.068322913177e+45
20 4.275396537541e-04 1.072366348423e+41 3.009871965812e+45
21 4.499891092148e-04 5.802777998878e+40 1.547444917235e+45
22 4.724385646756e-04 3.235309958326e+40 8.217728695914e+44
23 4.948880201363e-04 1.853432187167e+40 4.494185622007e+44
24 5.173374755971e-04 1.088360362336e+40 2.524527018453e+44
25 5.397869310578e-04 6.537197488000e+39 1.453283978222e+44
26 5.622363865186e-04 4.008968167778e+39 8.556475384175e+43
27 5.846858419793e-04 2.506046122692e+39 5.143369535083e+43
28 6.071352974400e-04 1.594535532761e+39 3.151591823736e+43
29 6.295847529008e-04 1.031358302391e+39 1.965787699221e+43
30 6.520342083615e-04 6.773535591647e+38 1.246597587326e+43
31 6.744836638223e-04 4.512349877164e+38 8.028096369170e+42
32 6.969331192830e-04 3.046258482275e+38 5.245137700574e+42
33 7.193825747437e-04 2.082289093826e+38 3.473460437210e+42
34 7.418320302045e-04 1.440101223302e+38 2.329532020188e+42
35 7.642814856652e-04 1.006977858973e+38 1.581058096306e+42
36 7.867309411260e-04 7.114513737312e+37 1.085176143264e+42
37 8.091803965867e-04 5.075931546106e+37 7.527515348889e+41
38 8.316298520475e-04 3.655099026839e+37 5.274123844169e+41
39 8.540793075082e-04 2.655104333674e+37 3.730479327153e+41
40 8.765287629689e-04 1.944759621527e+37 2.662447194463e+41
41 8.989782184297e-04 1.435720695204e+37 1.916470053361e+41
42 9.214276738904e-04 1.067886195107e+37 1.390736864586e+41
43 9.438771293512e-04 7.999713526451e+36 1.017045114584e+41
44 9.663265848119e-04 6.033549211059e+36 7.492559106899e+40
45 9.887760402727e-04 4.580203572936e+36 5.558634173627e+40
46 1.011225495733e-03 3.498515976558e+36 4.151615232787e+40
47 1.033674951194e-03 2.688141244808e+36 3.120680722738e+40
48 1.056124406655e-03 2.077203481397e+36 2.360180450305e+40
49 1.078573862116e-03 1.613843039098e+36 1.795529926081e+40
50 1.101023317576e-03 1.260380838917e+36 1.373682993408e+40
51 1.123472773037e-03 9.892575384340e+35 1.056642470215e+40
52 1.145922228498e-03 7.801862002814e+35 8.170043455436e+39
53 1.168371683959e-03 6.181412331090e+35 6.348745779405e+39
54 1.190821139419e-03 4.919280237875e+35 4.957198096373e+39
55 1.213270594880e-03 3.931587327989e+35 3.888584140666e+39
56 1.235720050341e-03 3.155141711274e+35 3.063938351154e+39
57 1.258169505802e-03 2.542085370548e+35 2.424556016173e+39
58 1.280618961262e-03 2.055989333620e+35 1.926558386979e+39
59 1.303068416723e-03 1.668988589626e+35 1.536977093334e+39
60 1.325517872184e-03 1.359668192681e+35 1.230916508526e+39
61 1.347967327645e-03 1.111495226301e+35 9.894856085951e+38
62 1.370416783105e-03 9.116496451719e+34 7.982823821869e+38
63 1.392866238566e-03 7.501481638866e+34 6.462772746870e+38
64 1.415315694027e-03 6.191845650587e+34 5.249863908147e+38
65 1.437765149487e-03 5.126306427059e+34 4.278562263568e+38
66 1.460214604948e-03 4.256569575016e+34 3.498036160377e+38
67 1.482664060409e-03 3.544433772571e+34 2.868701441318e+38
68 1.505113515870e-03 2.959572087660e+34 2.359613721986e+38
69 1.527562971330e-03 2.477824385931e+34 1.946492104694e+38
70 1.550012426791e-03 2.079877855983e+34 1.610215107983e+38
71 1.572461882252e-03 1.750243494867e+34 1.335671291969e+38
72 1.594911337713e-03 1.476459190542e+34 1.110877443000e+38
73 1.617360793173e-03 1.248466974535e+34 9.262994229644e+37
74 1.639810248634e-03 1.058124657300e+34 7.743271453621e+37
75 1.662259704095e-03 8.988215312355e+33 6.488672226281e+37
76 1.684709159556e-03 7.651749545785e+33 5.450257929009e+37
77 1.707158615016e-03 6.527900151364e+33 4.588607123400e+37
78 1.729608070477e-03 5.580685577874e+33 3.871872944950e+37
79 1.752057525938e-03 4.780569698207e+33 3.274255298654e+37
80 1.774506981399e-03 4.103244948185e+33 2.774795472453e+37
81 1.796956436859e-03 3.528656684167e+33 2.356422189289e+37
82 1.819405892320e-03 3.040218719460e+33 2.005194376225e+37
83 1.841855347781e-03 2.624180830690e+33 1.709698321653e+37
84 1.864304803242e-03 2.269117416828e+33 1.460566370617e+37
85 1.886754258702e-03 1.965513015785e+33 1.250091583503e+37
86 1.909203714163e-03 1.705425468923e+33 1.071918385412e+37
87 1.931653169624e-03 1.482211501038e+33 9.207935612955e+36
88 1.954102625085e-03 1.290302603260e+33 7.923653057091e+36
89 1.976552080545e-03 1.125021560776e+33 6.830206429770e+36
90 1.999001536006e-03 9.824319037901e+32 5.897535661246e+36
91 2.021450991467e-03 8.592140922334e+32 5.100578322366e+36
92 2.043900446928e-03 7.525634601769e+32 4.418395981907e+36
93 2.066349902388e-03 6.601059126871e+32 3.833460607562e+36
94 2.088799357849e-03 5.798281388831e+32 3.331070378039e+36
95 2.111248813310e-03 5.100197213891e+32 2.898870383294e+36
96 2.133698268770e-03 4.492250164523e+32 2.526458532740e+36
97 2.156147724231e-03 3.962030759644e+32 2.205060839822e+36
98 2.178597179692e-03 3.498942023218e+32 1.927263317423e+36
99 2.201046635153e-03 3.093919851334e+32 1.686790167144e+36
100 2.223496090613e-03 2.739198775801e+32 1.478319905683e+36
101 2.245945546074e-03 2.428115395364e+32 1.297332644387e+36
102 2.268395001535e-03 2.154943121504e+32 1.139983002985e+36
103 2.290844456996e-03 1.914753006218e+32 1.002994158091e+36
104 2.313293912456e-03 1.703296333558e+32 8.835693507267e+35
105 2.335743367917e-03 1.516905404425e+32 7.793178438664e+35
106 2.358192823378e-03 1.352409556805e+32 6.881928619566e+35
107 2.380642278839e-03 1.207063966618e+32 6.084394840909e+35
108 2.403091734299e-03 1.078489188164e+32 5.385508207303e+35
109 2.425541189760e-03 9.646197341199e+31 4.772310962315e+35
110 2.447990645221e-03 8.636602766204e+31 4.233644985399e+35
111 2.470440100682e-03 7.740482838652e+31 3.759888533148e+35
112 2.492889556142e-03 6.944220996741e+31 3.342733405721e+35
113 2.515339011603e-03 6.235936336323e+31 2.974996041913e+35
114 2.537788467064e-03 5.605249626857e+31 2.650457136016e+35
115 2.560237922525e-03 5.043082560062e+31 2.363725268981e+35
116 2.582687377985e-03 4.541485275329e+31 2.110120790014e+35
117 2.605136833446e-03 4.093487979581e+31 1.885576800586e+35
118 2.627586288907e-03 3.692973126916e+31 1.686554603747e+35
119 2.650035744368e-03 3.334565166193e+31 1.509971406211e+35
120 2.672485199828e-03 3.013535320626e+31 1.353138414007e+35
121 2.694934655289e-03 2.725719246718e+31 1.213707757122e+35
122 2.717384110750e-03 2.467445742683e+31 1.089626924477e+35
123 2.739833566211e-03 2.235474948779e+31 9.790995962741e+34
124 2.762283021671e-03 2.026944711912e+31 8.805519330249e+34
125 2.784732477132e-03 1.839323981348e+31 7.926035250219e+34
126 2.807181932593e-03 1.670372267140e+31 7.140423273944e+34
127 2.829631388054e-03 1.518104332554e+31 6.438030079664e+34
128 2.852080843514e-03 1.380759410463e+31 5.809482211288e+34
129 2.874530298975e-03 1.256774334569e+31 5.246523934782e+34
130 2.896979754436e-03 1.144760062263e+31 4.741876682475e+34
131 2.919429209896e-03 1.043481139161e+31 4.289117073804e+34
132 2.941878665357e-03 9.518377179246e+30 3.882570939991e+34
133 2.964328120818e-03 8.688497974345e+30 3.517221152407e+34
134 2.986777576279e-03 7.936433941025e+30 3.188627370470e+34
135 3.009227031739e-03 7.254383963499e+30 2.892856093735e+34
136 3.031676487200e-03 6.635378868778e+30 2.626419631564e+34
137 3.054125942661e-03 6.073187462479e+30 2.386222798862e+34
138 3.076575398122e-03 5.562233761216e+30 2.169516312694e+34
139 3.099024853582e-03 5.097524018844e+30 1.973856006847e+34
140 3.121474309043e-03 4.674582327997e+30 1.797067102986e+34
141 3.143923764504e-03 4.289393737334e+30 1.637212881214e+34
142 3.166373219965e-03 3.938353962119e+30 1.492567182145e+34
143 3.188822675425e-03 3.618224884475e+30 1.361590249226e+34
144 3.211272130886e-03 3.326095142304e+30 1.242907485908e+34
145 3.233721586347e-03 3.059345194916e+30 1.135290758920e+34
146 3.256171041808e-03 2.815616330508e+30 1.037641927659e+34
147 3.278620497268e-03 2.592783147693e+30 9.489783217739e+33
148 3.301069952729e-03 2.388929101460e+30 8.684199252980e+33
149 3.323519408190e-03 2.202324754616e+30 7.951780570401e+33
150 3.345968863651e-03 2.031408419825e+30 7.285453640267e+33
151 3.368418319111e-03 1.874768915828e+30 6.678869682632e+33
152 3.390867774572e-03 1.731130194920e+30 6.126326274006e+33
153 3.413317230033e-03 1.599337628053e+30 5.622697875185e+33
154 3.435766685494e-03 1.478345759500e+30 5.163374215398e+33
155 3.458216140954e-03 1.367207365409e+30 4.744205600863e+33
156 3.480665596415e-03 1.265063670163e+30 4.361454331492e+33
157 3.503115051876e-03 1.171135591622e+30 4.011751510112e+33
158 3.525564507337e-03 1.084715901392e+30 3.692058616319e+33
159 3.548013962797e-03 1.005162199490e+30 3.399633293542e+33
160 3.570463418258e-03 9.318906143600e+29 3.131998864667e+33
161 3.592912873719e-03 8.643701494384e+29 2.886917149907e+33
162 3.615362329179e-03 8.021176064272e+29 2.662364211587e+33
163 3.637811784640e-03 7.446930233643e+29 2.456508695173e+33
164 3.660261240101e-03 6.916955725434e+29 2.267692474948e+33
165 3.682710695562e-03 6.427598694958e+29 2.094413347007e+33
166 3.705160151022e-03 5.975526496754e+29 1.935309542322e+33
167 3.727609606483e-03 5.557697742898e+29 1.789145859019e+33
168 3.750059061944e-03 5.171335309598e+29 1.654801236197e+33
169 3.772508517405e-03 4.813901986482e+29 1.531257612044e+33
170 3.794957972865e-03 4.483078496201e+29 1.417589926926e+33
171 3.817407428326e-03 4.176743641454e+29 1.312957147973e+33
172 3.839856883787e-03 3.892956362653e+29 1.216594205609e+33
173 3.862306339248e-03 3.629939512624e+29 1.127804744768e+33
174 3.884755794708e-03 3.386065175368e+29 1.045954604399e+33
175 3.907205250169e-03 3.159841374134e+29 9.704659484671e+32
176 3.929654705630e-03 2.949900030404e+29 9.008119800994e+32
177 3.952104161091e-03 2.754986049813e+29 8.365121780758e+32
178 3.974553616551e-03 2.573947423947e+29 7.771280014625e+32
179 3.997003072012e-03 2.405726248445e+29 7.222590140970e+32
180 4.019452527473e-03 2.249350568091e+29 6.715393858391e+32
181 4.041901982934e-03 2.103926968688e+29 6.246347321350e+32
182 4.064351438394e-03 1.968633843720e+29 5.812392575473e+32
183 4.086800893855e-03 1.842715271047e+29 5.410731725594e+32
184 4.109250349316e-03 1.725475441447e+29 5.038803562021e+32
185 4.131699804777e-03 1.616273586605e+29 4.694262399420e+32
186 4.154149260237e-03 1.514519359403e+29 4.374958908385e+32
187 4.176598715698e-03 1.419668624036e+29 4.078922742663e+32
188 4.199048171159e-03 1.331219617638e+29 3.804346785393e+32
189 4.221497626620e-03 1.248709448903e+29 3.549572855933e+32
190 4.243947082080e-03 1.171710902530e+29 3.313078735060e+32
191 4.266396537541e-03 1.099829521353e+29 3.093466380846e+32
192 4.288845993002e-03 1.032700940737e+29 2.889451220461e+32
193 4.311295448462e-03 9.699884522659e+28 2.699852414740e+32
194 4.333744903923e-03 9.113807759419e+28 2.523584002695e+32
195 4.356194359384e-03 8.565900221029e+28 2.359646842454e+32
196 4.378643814845e-03 8.053498260278e+28 2.207121273388e+32
197 4.401093270305e-03 7.574136398204e+28 2.065160431652e+32
198 4.423542725766e-03 7.125531675986e+28 1.932984158009e+32
199 4.445992181227e-03 6.705569313228e+28 1.809873442839e+32
200 4.468441636688e-03 6.312289557702e+28 1.695165358556e+32
201 4.490891092148e-03 5.943875622278e+28 1.588248434527e+32
202 4.513340547609e-03 5.598642614320e+28 1.488558433895e+32
203 4.535790003070e-03 5.275027371513e+28 1.395574495629e+32
204 4.558239458531e-03 4.971579125926e+28 1.308815608611e+32
205 4.580688913991e-03 4.686950925181e+28 1.227837387743e+32
206 4.603138369452e-03 4.419891746035e+28 1.152229124903e+32
207 4.625587824913e-03 4.169239241484e+28 1.081611090127e+32
208 4.648037280374e-03 3.933913067755e+28 1.015632060706e+32
209 4.670486735834e-03 3.712908742327e+28 9.539670579959e+31
210 4.692936191295e-03 3.505291988449e+28 8.963152735682e+31
211 4.715385646756e-03 3.310193525533e+28 8.423981680846e+31
212 4.737835102217e-03 3.126804268393e+28 7.919577277640e+31
213 4.760284557677e-03 2.954370901496e+28 7.447548647228e+31
214 4.782734013138e-03 2.792191797353e+28 7.005679487130e+31
215 4.805183468599e-03 2.639613250862e+28 6.591914589181e+31
216 4.827632924060e-03 2.496026003797e+28 6.204347454896e+31
