7695
23.08041 0.00000 0.0000
0.000000 23.08041 0.00000 
0.000000 0.00000  23.08041 
C1       -14.69322000    -14.69322000    -14.69322000
C1       -13.57076000    -14.69322000    -14.69322000
C1       -14.69322000    -13.57076000    -14.69322000
C1       -11.75458000    -14.69322000    -14.69322000
C1       -13.22390000    -14.13199000    -13.78513000
C1       -12.66267000    -15.04008000    -14.13199000
C1       -12.66267000    -15.04008000    -12.31581000
C1       -11.75458000    -13.57076000    -14.69322000
C1       -18.53995000    -15.04008000    -14.13199000
C1       -16.50940000    -14.69322000    -14.69322000
C1       -17.97872000    -14.13199000    -13.78513000
C1       -17.41749000    -15.04008000    -14.13199000
C1       -16.50940000    -13.57076000    -14.69322000
C1       -15.60131000    -15.04008000    -14.13199000
C1       -15.60131000    -15.04008000    -12.31581000
C1       -14.69322000    -14.69322000    -13.57076000
C1       -14.13199000    -13.78513000    -13.22390000
C1       -14.69322000    -14.69322000    -11.75458000
C1       -15.04008000    -14.13199000    -12.66267000
C1       -13.57076000    -14.69322000    -11.75458000
C1       -15.04008000    -14.13199000    -18.53995000
C1       -14.69322000    -11.75458000    -14.69322000
C1       -13.78513000    -13.22390000    -14.13199000
C1       -14.13199000    -12.66267000    -15.04008000
C1       -13.57076000    -11.75458000    -14.69322000
C1       -12.66267000    -13.22390000    -14.13199000
C1       -14.13199000    -12.66267000    -13.22390000
C1       -11.75458000    -14.69322000    -13.57076000
C1       -13.22390000    -14.13199000    -12.66267000
C1       -14.69322000    -13.57076000    -11.75458000
C1       -12.66267000    -13.22390000    -12.31581000
C1       -11.75458000    -14.69322000    -11.75458000
C1       -13.22390000    -14.13199000    -18.53995000
C1       -12.10144000    -14.13199000    -12.66267000
C1       -13.57076000    -13.57076000    -11.75458000
C1       -12.66267000    -15.04008000    -18.88681000
C1       -12.10144000    -14.13199000    -18.53995000
C1       -12.66267000    -15.04008000    -17.07063000
C1       -12.31581000    -12.66267000    -15.04008000
C1       -11.75458000    -11.75458000    -14.69322000
C1       -18.53995000    -13.22390000    -14.13199000
C1       -12.31581000    -12.66267000    -13.22390000
C1       -18.88681000    -12.66267000    -15.04008000
C1       -12.66267000    -12.10144000    -14.13199000
C1       -11.75458000    -13.57076000    -13.57076000
C1       -17.41749000    -13.22390000    -14.13199000
C1       -18.88681000    -12.66267000    -13.22390000
C1       -16.50940000    -14.69322000    -13.57076000
C1       -17.97872000    -14.13199000    -12.66267000
C1       -11.75458000    -13.57076000    -11.75458000
C1       -18.53995000    -15.04008000    -18.88681000
C1       -16.50940000    -14.69322000    -11.75458000
C1       -17.97872000    -14.13199000    -18.53995000
C1       -18.53995000    -15.04008000    -17.07063000
C1       -17.41749000    -15.04008000    -18.88681000
C1       -17.41749000    -15.04008000    -17.07063000
C1       -17.07063000    -12.66267000    -15.04008000
C1       -18.53995000    -12.10144000    -14.13199000
C1       -16.50940000    -11.75458000    -14.69322000
C1       -17.97872000    -18.88681000    -13.78513000
C1       -15.60131000    -13.22390000    -14.13199000
C1       -17.07063000    -12.66267000    -13.22390000
C1       -15.94817000    -12.66267000    -15.04008000
C1       -17.41749000    -12.10144000    -14.13199000
C1       -16.16254000    -14.13199000    -12.66267000
C1       -16.50940000    -13.57076000    -13.57076000
C1       -15.60131000    -13.22390000    -12.31581000
C1       -15.94817000    -12.66267000    -13.22390000
C1       -16.16254000    -14.13199000    -18.53995000
C1       -16.50940000    -13.57076000    -11.75458000
C1       -15.60131000    -15.04008000    -18.88681000
C1       -15.60131000    -15.04008000    -17.07063000
C1       -15.60131000    -12.10144000    -14.13199000
C1       -15.04008000    -12.31581000    -12.66267000
C1       -14.13199000    -13.78513000    -17.97872000
C1       -14.69322000    -14.69322000    -16.50940000
C1       -15.04008000    -14.13199000    -17.41749000
C1       -13.57076000    -14.69322000    -16.50940000
C1       -15.04008000    -14.13199000    -15.60131000
C1       -14.13199000    -18.53995000    -15.04008000
C1       -14.69322000    -11.75458000    -13.57076000
C1       -14.13199000    -18.53995000    -13.22390000
C1       -13.22390000    -12.31581000    -12.66267000
C1       -14.69322000    -11.75458000    -11.75458000
C1       -13.57076000    -11.75458000    -13.57076000
C1       -15.04008000    -18.88681000    -12.66267000
C1       -14.13199000    -12.66267000    -12.10144000
C1       -13.57076000    -11.75458000    -11.75458000
C1       -15.04008000    -18.88681000    -18.53995000
C1       -12.66267000    -13.22390000    -18.88681000
C1       -14.13199000    -12.66267000    -17.97872000
C1       -13.22390000    -14.13199000    -17.41749000
C1       -14.69322000    -13.57076000    -16.50940000
C1       -18.88681000    -13.78513000    -17.97872000
C1       -12.66267000    -13.22390000    -17.07063000
C1       -14.13199000    -12.66267000    -16.16254000
C1       -11.75458000    -14.69322000    -16.50940000
C1       -13.22390000    -14.13199000    -15.60131000
C1       -12.10144000    -14.13199000    -17.41749000
C1       -13.57076000    -13.57076000    -16.50940000
C1       -12.66267000    -15.04008000    -15.94817000
C1       -12.10144000    -14.13199000    -15.60131000
C1       -14.69322000    -16.50940000    -14.69322000
C1       -13.78513000    -17.97872000    -14.13199000
C1       -14.13199000    -17.41749000    -15.04008000
C1       -13.57076000    -16.50940000    -14.69322000
C1       -18.88681000    -18.53995000    -15.04008000
C1       -12.66267000    -17.97872000    -14.13199000
C1       -14.13199000    -17.41749000    -13.22390000
C1       -11.75458000    -11.75458000    -13.57076000
C1       -13.22390000    -18.88681000    -12.66267000
C1       -18.88681000    -18.53995000    -13.22390000
C1       -12.66267000    -17.97872000    -12.31581000
C1       -17.97872000    -12.31581000    -12.66267000
C1       -11.75458000    -11.75458000    -11.75458000
C1       -13.22390000    -18.88681000    -18.53995000
C1       -12.10144000    -18.88681000    -12.66267000
C1       -18.53995000    -13.22390000    -18.88681000
C1       -12.31581000    -12.66267000    -17.97872000
C1       -18.88681000    -12.66267000    -12.10144000
